
Lista de ascensores:

Nombre Edificio     Dirección Edificio
INSIGNIA III   		  BOLIVAR 280 
BANCO NACION  		  SOBREMONTE 777 
PAUNERO      		PAUNERO 47
CANAL QUATRO   	HIPÓLITO IRIGOYEN 757 5° PISO
TERRAZAS DEL BOULEVARD    	BOULEVARD ROCA 901 
CECIS        		CONSTITUCION 846
LAJE         		ALVEAR 1323
SINDICATO LYF  		AV. ESPAÑA 350
RADIO RIO IV   		CONSTITUCION 399
GUINEA         		GOUDARD 731
CASINO RIO IV  		CAP GIAQUINO 551
ZAPICO ADRIANA     		ALVEAR Y ALONSO
JACARANDÁ          		AVENIDA SAN MARTIN 660
ZAREX IV       		LAS HERAS 1214
PIAMONTE          		HIPOLITO YRIGOYEN 1431
LUNARDI            		PRESIDENTE PERON CENTRO 448
MACKENA ANGIORAMA       		
PUERTA DEL SOL II        HIPOLITO YRIGOYEN 1231
SANCHI HNOS           		DEAN FUNES 65
RAWSON VM           		BARTOLOME MITRE 646
VIRGINIA II      		ALVEAR 1308
OPERA            		BELGRANO 17
GIOVANNI         		ALVEAR 1356
INTEGRAL II   		ALVEAR 1546
NORBERTO II    		25 DE MAYO 14
PUERTA DEL SOL I      HIPOLITO YRIGOYEN 1268
MARES III      		BAIGORRIA 609
MARES IV      		ALBERDI 1126
NICODEMUS 2      VILLA MARIA - CORDOBA
CORRIENTES VILLA MARIA      MITRE 646
CARDINALES B. COMERCIAL       	AV GUILLERMO MARCONI 6915
ARNAO           		MARIA OLGUIN 1336
MACERATTA          		ALBERDI 529
STAR BUILDING       		INTENDENTE DR JAIME GIL 37
PALACIO MUNICIPAL RIO IV       VILLA DE LA CONCEPCION 651
MERCADO DE ABASTO RIO IV        O L BUTELER O 1289
ESCUELA RIVADAVIA VM         ANTONIO SOBRAL 378
NIZA             		LAS HERAS 440
CPCE VILLA MARIA    		CATAMARCA 1043
TORRE VESTA       		SAN MARTIN 1324
OLAZABAL            		VICENTE BECARINI 47
ROCA             		CONSTITUCION 692
CABILDO            		BELGRANO 22
RIVADAVIA PALACE    		RIVADAVIA 114
TORRECIELOS            		ALVEAR 1278
BALCONES DEL RIO   		DR. JAIME GIL 153
BANCO DE CÓRDOBA    		CONSTITUCIÓN 784
CENTAURO             		CONSTITUCION 953
COCHERA OMEGA      		SOBREMONTE 853
DELTA              		CONSTITUCION 809
GALERIA PASEO JARDIN      	SOBREMONTE 680
GENERAL PAZ        		GENERAL PAZ 759
HUASIYCU              		NEWBERY 983
INTEGRAL             		ALVEAR 1576
MONUMENTAL PLAZA  		SOBREMONTE 745
PUNCU HUASI       		LAVALLE 1345
RIVADAVIA CENTER      		RIVADAVIA 354
SAN GERÓNIMO         		CONSTITUCION 287
SARMIENTO             		SARMIENTO 691
MAFALDA III        		SOBREMONTE 234
CLINICA DEL NIÑO    		ALVEAR 834
MICHELANGELO III      	BV JAIME GIL 66
TORRES DEL ANDINO    		SAN LORENZO Y HUMBERTO PRIMO
AUSTRAL II          		ALVEAR 945
VIRGINIA V      		CONSTITUCION 1037
BAUTISTA           		9 DE JULIO 343
COSTA SUR        		HIPOLITO YRIGOYEN 32
LUBILA             		BUENOS AIRES 1181
MARICEL           		MITRE 1277
BUENOS AIRES      		BUENOS AIRES 782
RESIDENCIAL PARQUE   		SANTIAGO DEL ESTERO 448
TORRE NOBILE        		BOLIVAR 216
FLORIDA II	  	SAN MARTIN 1201
OSDE               		CONSTITUCION 1043
COSTACENTER          		VELEZ SARSFIELD 554
COCHERA BAIGORRIA      		BAIGORRIA 245
MAGNOLIA             		9 DE JULIO 1255
9 DE JULIO VM       		9 DE JULIO 458
SAN MARTIN I        		SAN MARTIN 1079
SAN MARTIN II         	SAN MARTIN 1071
SAN MARTIN III       		SAN MARTÍN 1087
SAN MARTIN IV        		SAN MARTÍN 1069
SAN MARTIN V         		SAN MARTIN 1114
GUZMÁN I         		GOBERNADOR GUZMAN 1177
CAESAR          		SAAVEDRA 108
CRILLON HOTEL       		GENERAL PAZ 1043
GINÉS            		SAN MARTIN 686
HOSPITAL SAN ANTONIO DE PADUA           NACIONALES 1027
ISRAEL              		ESTADO DE ISRAEL 1070
PORTA NOBILE         		MENDOZA 345
TORRE ITALIA         		AV ITALIA 82
CERRO            		ITUZAINGÓ 1348
JUZGADO FEDERAL      		SOBREMONTE 942
LÚMINO            		SAN MARTíN 1138
BUENOS AIRES VM        	BUENOS AIRES 1070 
MARIA I VM           		RUCCI  254
MARIA II VM          		BUENOS AIRES 1377
GRAND HOTEL          		SOBREMONTE 125
CINCO HERMANAS       		CABRERA 1149
MOSSO          		BARRIO GOLF
CALLIA         		SAN MARTIN 556
CATEDRAL          		CONSTITUCION 750
GALERIA ROCA        		CONSTITUCION 692
MYKONOS         		ALVEAR 864
RANQUEL IV       		25 DE MAYO 259
MAURO OLMOS      		PAUL HARRIS 829
MICHELANGELO I         	SAN MARTIN Y MAIPU
MICHELANGELO II        	HIPOLITO YRIGOYEN 563
NEOCLINICA		   AVENIDA ITALIA 1466
CRISTAL      		LAMADRID 854
SOPROUR      		SAN MARTIN 161
CÓNDOR       		CONSTITUCION 569
LUCÍA        		ADELIA MARIA
GONZALEZ AM             BELGRANO Y LAS HERAS
GEMA         		BELGRANO 452
MERIDIANO   		ALVEAR 685
